Date,Open,High,Low,Close,Volume,Market Cap
2022-12-17,43.35197099612974,43.724352063026316,41.65879337507773,43.15145757327624,69717147.4,476963602.48
2022-12-16,46.54618260443845,47.12760710402951,42.93591301667407,43.34864459440169,78084927.26,479084287.55
2022-12-15,48.83602554285577,48.9428939801737,46.431817219581866,46.54599331154169,74286852.95,514357391.67
2022-12-14,48.25801433815305,49.78376432810601,48.19221067513596,48.84358716677348,82020981.26,539681027.25
2022-12-13,48.859361950945676,49.81157235206979,47.27927048249416,48.255099268490994,101144867.22,533113310.66
2022-12-12,46.66779306340045,49.205175841509295,44.93796022282858,48.86445809275283,108848299.21,539778909.22
2022-12-11,46.561577310526346,47.645624001068796,46.52904728946734,46.668195551985775,62251888.55,515453575.46
2022-12-10,46.61807833416525,47.85971895633844,46.3475027545171,46.5571243677955,67245699.02,514163210.19
2022-12-09,45.193976900284895,47.2889133566073,44.66960838933749,46.61615635884177,83822603.95,514751601.46
2022-12-08,44.10580105408384,45.27198148841914,43.58615842081732,45.198704371148125,76213125.62,499038451.07
2022-12-07,46.31218631450771,47.60158250554234,43.96391016475229,44.10452302562876,93922633.48,486897927.19
2022-12-06,47.02324902472561,47.89590430929892,45.565822209026436,46.31172799236337,74476143.66,511201197.62
2022-12-05,44.82283599589212,47.88020101950248,44.68645229652116,47.024576352145196,92022367.34,519006342.26
2022-12-04,45.0493794306076,45.51679889307807,44.26108254783698,44.831943193409195,57724923.04,494745435.05
2022-12-03,45.70481694620491,46.24845318770899,44.80672208894717,45.05126228137764,65946244.91,497103887.31
2022-12-02,45.472970086591154,46.21731305675758,44.49180039624457,45.69730652677531,71128160.62,504169828.7
2022-12-01,43.24129754855845,46.26468382018806,42.78852879722615,45.46965372089681,89484999.46,501597444.03
2022-11-30,43.21655128618507,44.55488672519269,42.10604329666176,43.24391829562755,80704588.8,476985135.38
2022-11-29,39.97663267896332,43.37373788613325,39.70396550429036,43.21572124721778,86663884.7,476615342.8
2022-11-28,40.678735528150355,40.864789667911275,38.908110130468565,39.9778127816358,64980568.93,440850374.04
2022-11-27,41.042485247870545,42.03309494097716,40.66887700337292,40.68634183301867,57423687.64,448609083.8
2022-11-26,40.49817507566969,42.13607008172262,40.488127949566525,41.042610672564365,62724252.93,452480965.01
2022-11-25,42.05415895313789,42.19982774106895,40.396382541698785,40.49511584560282,63426805.77,446203646.75
2022-11-24,43.27809980968376,43.286012905249535,41.548833827547845,42.057560751264205,86265394.57,463362540.37
2022-11-23,37.234193198500094,43.58978083580266,36.90202924428542,43.28217782181552,144101443.48,476796538.37
2022-11-22,34.48102206676598,37.30863156488689,34.347296604644264,37.23235348682489,65460556.31,410100543.62
2022-11-21,34.592561388363585,34.9632756412084,33.83852897965002,34.48950045116122,55933851.69,379841596.01
2022-11-20,35.56805756884852,35.88953070367878,34.52814009966321,34.59116472707833,53280138.23,380914358.62
2022-11-19,34.510216058184525,35.85304127583819,34.04744799701198,35.56639583000539,48028430.29,391604405.05
2022-11-18,33.75079241934455,34.58413598161275,33.47813804103659,34.511525568021426,50911809.1,379943469.35
2022-11-17,33.82438619692877,34.017714906328415,33.14719789172976,33.75233924155801,47667218.17,371539110.9
2022-11-16,34.29535673107206,34.47475552999037,33.14353238563842,33.82403212658383,61931987.66,372282726.43
2022-11-15,34.374462780079945,35.09255793223007,33.94405836878835,34.29839667553591,60140665.88,377456365.71
2022-11-14,33.49868380463378,34.52521828033046,31.7672494631551,34.37125386487795,64388098.37,378211947.08
2022-11-13,33.792429437165865,34.66545358297468,32.973696220445426,33.503676112191584,51033945.74,368619939.42
